Team,Y/A,Defense Y/A,Net Y/A,Wins,Losses,Ties,Win Percentage
49ers,7.6,6.6,1,6,10,0,0.375
Bears,6.4,7.2,-0.8,8,8,0,0.5
Bengals,6.5,7.3,-0.8,4,11,1,0.28125
Bills,8,6.9,1.1,13,3,0,0.8125
Broncos,6.6,7.2,-0.6,5,11,0,0.3125
Browns,7.4,7.2,0.2,11,5,0,0.6875
Buccaneers,7.6,7,0.6,11,5,0,0.6875
Cardinals,7.1,6.9,0.2,8,8,0,0.5
Chargers,7.3,6.8,0.5,7,9,0,0.4375
Chiefs,7.9,7.1,0.8,14,2,0,0.875
Colts,7.6,7.3,0.3,11,5,0,0.6875
Cowboys,7.1,7.4,-0.3,6,10,0,0.375
Dolphins,7,8,-1,10,6,0,0.625
Eagles,6.2,7.8,-1.6,4,11,1,0.28125
Falcons,7.4,7.9,-0.5,4,12,0,0.25
Redskins,6.3,6.4,-0.1,7,9,0,0.4375
Giants,6.5,7.2,-0.7,6,10,0,0.375
Jaguars,6.4,8.1,-1.7,1,15,0,0.0625
Jets,6.2,7.6,-1.4,2,14,0,0.125
Lions ,7.6,8.5,-0.9,5,11,0,0.3125
Packers ,8.2,7.1,1.1,13,3,0,0.8125
Panthers,7.5,6.9,0.6,5,11,0,0.3125
Patriots,7.1,7.5,-0.4,7,9,0,0.4375
Raiders,8,7.5,0.5,8,8,0,0.5
Rams,7.1,6.2,0.9,10,6,0,0.625
Ravens,7.2,6.4,0.8,11,5,0,0.6875
Saints,7.6,6.7,0.9,12,4,0,0.75
Seahawks,7.5,7.1,0.4,12,4,0,0.75
Steelers,6.3,6.6,-0.3,12,4,0,0.75
Texans,8.9,8,0.9,4,12,0,0.25
Titans,7.9,7.3,0.6,11,5,0,0.6875
Vikings ,8.3,7.9,0.4,7,9,0,0.4375
