Team,Year,Champion
Cowboys,1971,Y
Dolphins,1972,Y
Dolphins,1973,Y
Steelers,1974,Y
Steelers,1975,Y
Raiders,1976,Y
Cowboys,1977,Y
Steelers,1978,Y
Steelers,1979,Y
Raiders,1980,Y
49ers,1981,Y
Redskins,1982,Y
Raiders,1983,Y
49ers,1984,Y
Bears,1985,Y
Giants,1986,Y
Redskins,1987,Y
49ers,1988,Y
49ers,1989,Y
Giants,1990,Y
Redskins,1991,Y
Cowboys,1992,Y
Cowboys,1993,Y
49ers,1994,Y
Cowboys,1995,Y
Packers,1996,Y
Broncos,1997,Y
Broncos,1998,Y
Rams,1999,Y
Ravens,2000,Y
Patriots,2001,Y
Buccaneers,2002,Y
Patriots,2003,Y
Patriots,2004,Y
Steelers,2005,Y
Colts,2006,Y
Giants,2007,Y
Steelers,2008,Y
Saints,2009,Y
Packers,2010,Y
Giants,2011,Y
Ravens,2012,Y
Seahawks,2013,Y
Patriots,2014,Y
Broncos,2015,Y
Patriots,2016,Y
Eagles,2017,Y
Patriots,2018,Y
Chiefs,2019,Y
